0.0 3 
10.259703 3 553
10.268748 3 553
10.280706 3 553
10.288709 3 553
10.300705 3 553
10.309754 0 553
10.321745 0 553
10.329736 0 553
10.341729 0 553
10.35074 0 553
10.362688 0 553
10.370781 0 553
10.382741 0 553
10.391776 0 553
10.403795 0 553
10.411795 0 553
10.423878 0 553
10.431862 0 553
10.444811 0 553
10.452824 0 553
10.464819 0 553
10.472818 0 553
10.485814 0 553
10.49382 0 553
10.505841 0 553
10.513789 4 553
10.526785 4 553
10.535034 4 553
10.546808 4 553
10.554803 4 553
10.567799 4 553
10.57581 4 553
10.587935 4 553
10.595887 4 553
10.608699 4 553
10.616683 3 553
10.628805 3 553
10.636811 3 553
10.648848 3 553
10.65786 3 553
10.669913 3 553
10.677909 3 553
10.689906 3 553
10.702895 3 553
10.710885 3 553
10.722893 3 553
10.730888 3 553
10.743909 3 553
10.75189 3 553
10.763883 3 553
10.771865 3 553
10.784875 3 553
10.792555 3 553
10.804538 3 553
10.813535 3 553
10.825531 0 553
10.83393 0 553
10.845557 0 553
10.854563 0 553
10.866584 0 553
10.87456 0 553
10.886561 0 553
10.89554 0 553
10.907646 0 553
10.915644 0 553
10.927621 1 553
10.935667 1 553
10.948627 1 553
10.956627 1 553
10.96871 1 553
10.976658 1 553
10.989655 1 553
10.997652 1 553
11.009647 1 553
11.017659 1 553
11.030641 2 553
11.038638 2 553
11.050635 2 553
11.058632 2 553
11.071628 2 553
11.079626 2 553
11.091622 2 553
11.099618 2 553
11.111616 2 553
11.120612 2 553
11.132608 5 553
11.140605 5 553
11.152602 5 553
11.1616 5 553
11.173595 5 553
11.181592 5 553
11.193589 5 553
11.202586 5 553
11.214582 5 553
11.22258 5 553
11.234577 3 553
11.243573 3 553
11.255569 3 553
11.263566 3 553
11.275563 3 553
11.28456 3 553
11.296556 3 553
11.304553 3 553
11.316549 3 553
11.325547 3 553
11.337677 0 553
11.345691 0 553
11.357698 0 553
11.369654 0 553
11.378651 0 553
11.390647 0 553
11.398672 0 553
11.410653 0 553
11.41966 0 553
11.431656 0 553
11.439644 1 553
11.452402 1 553
11.460402 1 553
11.472443 1 553
11.480427 1 553
11.493423 1 553
11.501452 1 553
11.513416 1 553
11.521414 1 553
11.533739 1 553
11.541686 4 553
11.554698 4 553
11.56268 4 553
11.574695 4 553
11.583689 4 553
11.595729 4 553
11.603726 4 553
11.615778 4 553
11.623832 4 553
11.636808 4 553
11.644806 0 553
11.656881 0 553
11.66488 0 553
11.676934 0 553
11.685965 0 553
11.697914 0 553
11.705949 0 553
11.71794 0 553
